System,Timestamp,Residency
SystemA,2024-01-01 00:00:00,50.33503862882737
SystemB,2024-01-01 00:00:00,50.17521971999871
SystemC,2024-01-01 00:00:00,49.94922091543374
SystemA,2024-01-01 00:01:00,49.448980649488895
SystemB,2024-01-01 00:01:00,49.84112437225907
SystemC,2024-01-01 00:01:00,50.40448809452599
SystemA,2024-01-01 00:02:00,50.30543997316118
SystemB,2024-01-01 00:02:00,50.37912677796735
SystemC,2024-01-01 00:02:00,50.78027971452805
SystemA,2024-01-01 00:03:00,50.7476066509745
SystemB,2024-01-01 00:03:00,50.59813192356054
SystemC,2024-01-01 00:03:00,49.84818341307856
SystemA,2024-01-01 00:04:00,50.150926571680266
SystemB,2024-01-01 00:04:00,49.55193456228196
SystemC,2024-01-01 00:04:00,49.416954104681885
SystemA,2024-01-01 00:05:00,51.03839812358778
SystemB,2024-01-01 00:05:00,49.86903730308792
SystemC,2024-01-01 00:05:00,49.94532096117387
SystemA,2024-01-01 00:06:00,49.67696570486992
SystemB,2024-01-01 00:06:00,49.747222364314695
SystemC,2024-01-01 00:06:00,51.167299539945944
SystemA,2024-01-01 00:07:00,50.77761455249938
SystemB,2024-01-01 00:07:00,49.74636747067935
SystemC,2024-01-01 00:07:00,50.262625092291564
SystemA,2024-01-01 00:08:00,50.406319404832814
SystemB,2024-01-01 00:08:00,50.30361134218202
SystemC,2024-01-01 00:08:00,49.96714904935879
SystemA,2024-01-01 00:09:00,50.21671062771592
SystemB,2024-01-01 00:09:00,50.977397512878426
SystemC,2024-01-01 00:09:00,49.17630360941924
SystemA,2024-01-01 00:10:00,50.37454429662465
SystemB,2024-01-01 00:10:00,49.96604313792467
SystemC,2024-01-01 00:10:00,48.6852625813666
SystemA,2024-01-01 00:11:00,50.4760565114242
SystemB,2024-01-01 00:11:00,50.26879349795956
SystemC,2024-01-01 00:11:00,50.61744445733028
SystemA,2024-01-01 00:12:00,49.84723337631266
SystemB,2024-01-01 00:12:00,50.83547696494511
SystemC,2024-01-01 00:12:00,50.0113416920393
SystemA,2024-01-01 00:13:00,50.94453173784509
SystemB,2024-01-01 00:13:00,50.747501139391794
SystemC,2024-01-01 00:13:00,50.21155679665372
SystemA,2024-01-01 00:14:00,49.95400489798436
SystemB,2024-01-01 00:14:00,50.430879015313195
SystemC,2024-01-01 00:14:00,50.37947718863934
SystemA,2024-01-01 00:15:00,51.17160112193384
SystemB,2024-01-01 00:15:00,49.60985029990587
SystemC,2024-01-01 00:15:00,50.85468366894535
SystemA,2024-01-01 00:16:00,50.177409171529625
SystemB,2024-01-01 00:16:00,50.79123647043855
SystemC,2024-01-01 00:16:00,50.739088800387925
SystemA,2024-01-01 00:17:00,51.050742007492936
SystemB,2024-01-01 00:17:00,50.150229725237764
SystemC,2024-01-01 00:17:00,50.44634333535167
SystemA,2024-01-01 00:18:00,50.52079078064646
SystemB,2024-01-01 00:18:00,50.77014288440956
SystemC,2024-01-01 00:18:00,50.153432895543645
SystemA,2024-01-01 00:19:00,50.876540241804314
SystemB,2024-01-01 00:19:00,51.4097989514259
SystemC,2024-01-01 00:19:00,51.17984964171758
SystemA,2024-01-01 00:20:00,50.67467161540847
SystemB,2024-01-01 00:20:00,50.714581953152724
SystemC,2024-01-01 00:20:00,50.884664201490686
SystemA,2024-01-01 00:21:00,50.694449453879265
